Date,Tweet,Likes,Retweets,Sentiment,Confidence,Engagement,PopularityIndex,SentimentScore,Success,Tweet_Length,Hashtags_Count,Mentions_Count,URL_Shared,Media_Attached,Reply_Count,Retweet_Flag,Original_Tweets_Percentage,Unique_Word_Count,Positive_Word_Count,Negative_Word_Count,Neutral_Word_Count,Follower_Count,User_Verified,Political_Hashtags_Usage,Keyword_Frequency,Emotion_Score,Engagement_Per_Follower,Time_of_Day,Region
2024-01-01 11:00:00,Political impact of Vijay,496,13,POSITIVE,0.9275826724857364,509,0.6551724137931034,1,1,25,0,0,0,0,95,0,1,4,0,0,25,88653,0,0,0,0.0,0.005741486469719017,Morning,North
2024-01-01 12:00:00,Thalapathy Vijay is the leader!,91,11,POSITIVE,0.6793778810106369,102,0.11538461538461539,1,0,31,0,0,0,0,10,0,1,5,0,0,31,1856,0,0,1,0.0,0.05495689655172414,Afternoon,Central
2024-01-01 13:00:00,Will Vijay succeed?,286,86,NEUTRAL,0.8155585139461174,372,0.473474801061008,0,0,19,0,0,0,0,19,0,1,3,0,0,19,68212,0,0,0,0.0,0.005453585879317422,Afternoon,East
2024-01-01 14:00:00,Vijay Makkal Iyakkam rocks!,377,11,POSITIVE,0.8574492190386442,388,0.4946949602122016,1,0,27,0,0,0,0,34,0,1,4,0,0,27,91103,0,0,0,0.0,0.004258915732742061,Afternoon,East
2024-01-01 15:00:00,Will Vijay succeed?,392,24,NEGATIVE,0.7149223348715776,416,0.5318302387267905,-1,1,19,0,0,0,0,52,0,1,3,0,0,19,96841,0,0,0,0.0,0.00429570120093762,Afternoon,East
2024-01-01 16:00:00,Vijay Makkal Iyakkam rocks!,50,242,POSITIVE,0.6532211682751214,292,0.3673740053050398,1,0,27,0,0,0,0,46,0,1,4,0,0,27,58151,0,0,0,0.0,0.00502140977799178,Afternoon,East
2024-01-01 17:00:00,Thalapathy Vijay is the leader!,28,121,POSITIVE,0.9811064550579724,149,0.17771883289124668,1,0,31,0,0,0,0,74,0,1,5,0,0,31,64695,0,0,1,0.0,0.0023031146147306594,Evening,East
2024-01-01 18:00:00,Vijay entry trending!,461,146,NEUTRAL,0.9822441125119272,607,0.7851458885941645,0,1,21,0,0,0,0,51,0,1,3,0,0,21,78310,0,0,0,0.0,0.0077512450517175325,Evening,Central
2024-01-01 19:00:00,Vijay Makkal Iyakkam rocks!,295,54,NEGATIVE,0.6447181840150109,349,0.44297082228116713,-1,0,27,0,0,0,0,7,0,1,4,0,0,27,43194,0,0,0,0.0,0.008079825901745613,Evening,West
2024-01-01 20:00:00,Will Vijay succeed?,296,237,POSITIVE,0.7398125483722291,533,0.6870026525198939,1,1,19,0,0,0,0,3,0,1,3,0,0,19,87989,0,0,0,0.0,0.006057575378740524,Evening,South
2024-01-01 21:00:00,Thalapathy Vijay is the leader!,213,172,NEGATIVE,0.9864220793300112,385,0.4907161803713528,-1,0,31,0,0,0,0,26,0,1,5,0,0,31,95485,0,0,1,0.0,0.004032046918364141,Night,East
2024-01-01 22:00:00,Vijay Makkal Iyakkam rocks!,266,220,NEGATIVE,0.5024342038277516,486,0.6246684350132626,-1,1,27,0,0,0,0,43,0,1,4,0,0,27,4635,0,0,0,0.0,0.10485436893203884,Night,West
2024-01-01 23:00:00,Vijay entry trending!,406,118,NEGATIVE,0.7063391241895747,524,0.6750663129973474,-1,1,21,0,0,0,0,39,0,1,3,0,0,21,56135,0,0,0,0.0,0.009334639707847155,Night,North
2024-01-02 00:00:00,Vijay entry trending!,256,182,NEUTRAL,0.5502287748404842,438,0.5610079575596817,0,1,21,0,0,0,0,46,0,1,3,0,0,21,47467,0,0,0,0.0,0.009227463290285882,Night,Central
2024-01-02 01:00:00,Political impact of Vijay,301,287,POSITIVE,0.7545789827813013,588,0.7599469496021221,1,1,25,0,0,0,0,93,0,1,4,0,0,25,17218,0,0,0,0.0,0.034150307817400395,Night,West
2024-01-02 02:00:00,Political impact of Vijay,100,299,NEUTRAL,0.5123349772702436,399,0.5092838196286472,0,1,25,0,0,0,0,43,0,1,4,0,0,25,59912,0,0,0,0.0,0.006659767659233542,Night,East
2024-01-02 03:00:00,Will Vijay succeed?,404,81,POSITIVE,0.7034492156953139,485,0.623342175066313,1,1,19,0,0,0,0,47,0,1,3,0,0,19,59984,0,0,0,0.0,0.008085489463857029,Night,East
2024-01-02 04:00:00,Vijay Makkal Iyakkam rocks!,345,210,POSITIVE,0.6103495373926675,555,0.7161803713527851,1,1,27,0,0,0,0,90,0,1,4,0,0,27,66268,0,0,0,0.0,0.008375082996317982,Night,East
2024-01-02 05:00:00,Vijay Makkal Iyakkam rocks!,109,149,NEUTRAL,0.7666541812293703,258,0.3222811671087533,0,0,27,0,0,0,0,84,0,1,4,0,0,27,13380,0,0,0,0.0,0.019282511210762333,Morning,West
2024-01-02 06:00:00,Political impact of Vijay,419,36,NEGATIVE,0.99799682455035,455,0.583554376657825,-1,1,25,0,0,0,0,51,0,1,4,0,0,25,14846,0,0,0,0.0,0.03064798598949212,Morning,East
2024-01-02 07:00:00,Vijay Makkal Iyakkam rocks!,181,58,NEGATIVE,0.9002680525633738,239,0.29708222811671087,-1,0,27,0,0,0,0,83,0,1,4,0,0,27,53351,0,0,0,0.0,0.0044797660774868325,Morning,West
2024-01-02 08:00:00,Vijay Makkal Iyakkam rocks!,470,130,POSITIVE,0.9228210458122108,600,0.7758620689655172,1,1,27,0,0,0,0,67,0,1,4,0,0,27,84921,0,0,0,0.0,0.007065390186173031,Morning,East
2024-01-02 09:00:00,Vijay entry trending!,312,201,NEUTRAL,0.8176324936795405,513,0.6604774535809018,0,1,21,0,0,0,0,10,0,1,3,0,0,21,83683,0,0,0,0.0,0.006130277356213329,Morning,North
2024-01-02 10:00:00,Political impact of Vijay,0,242,NEGATIVE,0.5207799241361293,242,0.3010610079575597,-1,0,25,0,0,0,0,76,0,1,4,0,0,25,10307,0,0,0,0.0,0.023479188900747065,Morning,North
2024-01-02 11:00:00,Thalapathy Vijay is the leader!,318,34,NEGATIVE,0.6033988380220721,352,0.4469496021220159,-1,0,31,0,0,0,0,72,0,1,5,0,0,31,71227,0,0,1,0.0,0.00494194617209766,Morning,South
2024-01-02 12:00:00,Political impact of Vijay,437,92,POSITIVE,0.9625322782235276,529,0.6816976127320955,1,1,25,0,0,0,0,3,0,1,4,0,0,25,27857,0,0,0,0.0,0.018989840973543455,Afternoon,East
2024-01-02 13:00:00,Thalapathy Vijay is the leader!,54,206,POSITIVE,0.6830565589643756,260,0.3249336870026525,1,0,31,0,0,0,0,75,0,1,5,0,0,31,16326,0,0,1,0.0,0.015925517579321327,Afternoon,East
2024-01-02 14:00:00,Vijay entry trending!,370,212,NEUTRAL,0.5518183632403978,582,0.7519893899204244,0,1,21,0,0,0,0,72,0,1,3,0,0,21,95368,0,0,0,0.0,0.006102675950004194,Afternoon,West
2024-01-02 15:00:00,Will Vijay succeed?,423,158,POSITIVE,0.851202682933101,581,0.7506631299734748,1,1,19,0,0,0,0,76,0,1,3,0,0,19,61507,0,0,0,0.0,0.00944607930804624,Afternoon,West
2024-01-02 16:00:00,Vijay Makkal Iyakkam rocks!,398,23,NEGATIVE,0.6497288619671273,421,0.5384615384615384,-1,1,27,0,0,0,0,47,0,1,4,0,0,27,27306,0,0,0,0.0,0.015417856881271515,Afternoon,East
2024-01-02 17:00:00,Vijay entry trending!,148,292,NEGATIVE,0.6344284564520859,440,0.5636604774535809,-1,1,21,0,0,0,0,25,0,1,3,0,0,21,20356,0,0,0,0.0,0.021615248575358615,Evening,South
2024-01-02 18:00:00,Vijay Makkal Iyakkam rocks!,430,3,NEGATIVE,0.9989887277791302,433,0.5543766578249337,-1,1,27,0,0,0,0,76,0,1,4,0,0,27,33922,0,0,0,0.0,0.01276457756028536,Evening,East
2024-01-02 19:00:00,Will Vijay succeed?,456,219,NEGATIVE,0.9290694625133272,675,0.8753315649867374,-1,1,19,0,0,0,0,38,0,1,3,0,0,19,41440,0,0,0,0.0,0.016288610038610037,Evening,West
2024-01-02 20:00:00,Will Vijay succeed?,308,19,NEUTRAL,0.7039689091839205,327,0.41379310344827586,0,0,19,0,0,0,0,91,0,1,3,0,0,19,52334,0,0,0,0.0,0.006248328046776474,Evening,East
2024-01-02 21:00:00,Vijay entry trending!,136,151,NEUTRAL,0.9901306039082496,287,0.36074270557029176,0,0,21,0,0,0,0,57,0,1,3,0,0,21,43451,1,0,0,0.0,0.006605141423672643,Night,West
2024-01-02 22:00:00,Will Vijay succeed?,201,49,POSITIVE,0.8250566117096068,250,0.3116710875331565,1,0,19,0,0,0,0,18,0,1,3,0,0,19,48771,0,0,0,0.0,0.0051259970064177485,Night,East
2024-01-02 23:00:00,Thalapathy Vijay is the leader!,435,176,POSITIVE,0.8710112259398801,611,0.7904509283819628,1,1,31,0,0,0,0,87,0,1,5,0,0,31,75420,1,0,1,0.0,0.008101299390082207,Night,Central
2024-01-03 00:00:00,Will Vijay succeed?,312,95,POSITIVE,0.5157565215411057,407,0.519893899204244,1,1,19,0,0,0,0,82,0,1,3,0,0,19,35257,1,0,0,0.0,0.011543806903593613,Night,West
2024-01-03 01:00:00,Vijay Makkal Iyakkam rocks!,116,104,NEUTRAL,0.5608026296740285,220,0.2718832891246684,0,0,27,0,0,0,0,76,0,1,4,0,0,27,20037,0,0,0,0.0,0.010979687577980736,Night,South
2024-01-03 02:00:00,Vijay Makkal Iyakkam rocks!,153,249,NEGATIVE,0.8165425632481191,402,0.513262599469496,-1,1,27,0,0,0,0,76,0,1,4,0,0,27,54390,0,0,0,0.0,0.007391064533921677,Night,Central
2024-01-03 03:00:00,Vijay Makkal Iyakkam rocks!,424,116,POSITIVE,0.949511991324742,540,0.6962864721485411,1,1,27,0,0,0,0,57,0,1,4,0,0,27,46807,0,0,0,0.0,0.011536735958296835,Night,East
2024-01-03 04:00:00,Vijay Makkal Iyakkam rocks!,290,227,NEGATIVE,0.8118718630437978,517,0.6657824933687002,-1,1,27,0,0,0,0,27,0,1,4,0,0,27,11319,0,0,0,0.0,0.0456754130223518,Night,West
2024-01-03 05:00:00,Thalapathy Vijay is the leader!,62,65,POSITIVE,0.567012447159496,127,0.14854111405835543,1,0,31,0,0,0,0,65,0,1,5,0,0,31,9499,0,0,1,0.0,0.013369828402989788,Morning,Central
2024-01-03 06:00:00,Political impact of Vijay,243,261,POSITIVE,0.5578800231231623,504,0.6485411140583555,1,1,25,0,0,0,0,9,0,1,4,0,0,25,98948,1,0,0,0.0,0.0050935845090350484,Morning,South
2024-01-03 07:00:00,Vijay entry trending!,24,294,POSITIVE,0.9220929479120408,318,0.40185676392572944,1,0,21,0,0,0,0,85,0,1,3,0,0,21,27757,0,0,0,0.0,0.01145656951399647,Morning,West
2024-01-03 08:00:00,Vijay Makkal Iyakkam rocks!,89,242,POSITIVE,0.5696511693539572,331,0.41909814323607425,1,0,27,0,0,0,0,76,0,1,4,0,0,27,20147,0,0,0,0.0,0.016429245048890654,Morning,Central
2024-01-03 09:00:00,Will Vijay succeed?,74,185,POSITIVE,0.7601159802520128,259,0.32360742705570295,1,0,19,0,0,0,0,57,0,1,3,0,0,19,76195,0,0,0,0.0,0.003399173174092788,Morning,Central
2024-01-03 10:00:00,Vijay Makkal Iyakkam rocks!,293,245,NEGATIVE,0.5185566599811511,538,0.6936339522546419,-1,1,27,0,0,0,0,72,0,1,4,0,0,27,85793,0,0,0,0.0,0.0062709078829275115,Morning,Central
2024-01-03 11:00:00,Will Vijay succeed?,385,124,POSITIVE,0.5403348836955887,509,0.6551724137931034,1,1,19,0,0,0,0,96,0,1,3,0,0,19,72254,0,0,0,0.0,0.007044592686910068,Morning,North
2024-01-03 12:00:00,Will Vijay succeed?,390,267,NEGATIVE,0.8361741338214324,657,0.8514588859416445,-1,1,19,0,0,0,0,13,0,1,3,0,0,19,44991,0,0,0,0.0,0.014602920584116823,Afternoon,East
2024-01-03 13:00:00,Vijay Makkal Iyakkam rocks!,209,130,NEUTRAL,0.8445907052137583,339,0.4297082228116711,0,0,27,0,0,0,0,83,0,1,4,0,0,27,6880,0,0,0,0.0,0.04927325581395349,Afternoon,West
2024-01-03 14:00:00,Thalapathy Vijay is the leader!,474,236,POSITIVE,0.6707347033042212,710,0.9217506631299734,1,1,31,0,0,0,0,14,0,1,5,0,0,31,27150,0,0,1,0.0,0.02615101289134438,Afternoon,West
2024-01-03 15:00:00,Will Vijay succeed?,417,17,NEGATIVE,0.6078048826215223,434,0.5557029177718833,-1,1,19,0,0,0,0,95,0,1,3,0,0,19,73651,0,0,0,0.0,0.00589265590419682,Afternoon,West
2024-01-03 16:00:00,Will Vijay succeed?,346,39,NEUTRAL,0.906855135378654,385,0.4907161803713528,0,0,19,0,0,0,0,32,0,1,3,0,0,19,68766,0,0,0,0.0,0.005598697030509263,Afternoon,Central
2024-01-03 17:00:00,Vijay Makkal Iyakkam rocks!,16,20,NEUTRAL,0.6085516147349452,36,0.027851458885941646,0,0,27,0,0,0,0,16,0,1,4,0,0,27,93719,0,0,0,0.0,0.00038412701800061885,Evening,East
2024-01-03 18:00:00,Will Vijay succeed?,127,224,NEUTRAL,0.7710135348331899,351,0.44562334217506633,0,0,19,0,0,0,0,23,0,1,3,0,0,19,82116,0,0,0,0.0,0.004274441034633932,Evening,South
2024-01-03 19:00:00,Will Vijay succeed?,426,281,NEGATIVE,0.9841044204314529,707,0.9177718832891246,-1,1,19,0,0,0,0,29,0,1,3,0,0,19,53110,0,0,0,0.0,0.013311993974769346,Evening,West
2024-01-03 20:00:00,Vijay Makkal Iyakkam rocks!,442,7,POSITIVE,0.5739262189311919,449,0.5755968169761273,1,1,27,0,0,0,0,61,0,1,4,0,0,27,38265,0,0,0,0.0,0.011733960538350973,Evening,East
2024-01-03 21:00:00,Vijay Makkal Iyakkam rocks!,363,99,POSITIVE,0.9704381337473544,462,0.5928381962864722,1,1,27,0,0,0,0,12,0,1,4,0,0,27,11628,0,0,0,0.0,0.03973168214654283,Night,East
2024-01-03 22:00:00,Vijay entry trending!,250,239,NEGATIVE,0.5914465265343343,489,0.6286472148541115,-1,1,21,0,0,0,0,61,0,1,3,0,0,21,49708,0,0,0,0.0,0.009837450712159008,Night,North
2024-01-03 23:00:00,Thalapathy Vijay is the leader!,178,86,POSITIVE,0.7837216040116148,264,0.3302387267904509,1,0,31,0,0,0,0,46,0,1,5,0,0,31,6014,0,0,1,0.0,0.04389757233122714,Night,West
2024-01-04 00:00:00,Thalapathy Vijay is the leader!,181,297,NEGATIVE,0.6885038559793724,478,0.6140583554376657,-1,1,31,0,0,0,0,15,0,1,5,0,0,31,37236,0,0,1,0.0,0.012837039424213128,Night,Central
2024-01-04 01:00:00,Will Vijay succeed?,151,13,POSITIVE,0.982464300750913,164,0.1976127320954907,1,0,19,0,0,0,0,65,0,1,3,0,0,19,11279,0,0,0,0.0,0.014540296125543044,Night,East
2024-01-04 02:00:00,Thalapathy Vijay is the leader!,24,1,NEUTRAL,0.6367710145009684,25,0.013262599469496022,0,0,31,0,0,0,0,80,0,1,5,0,0,31,86108,0,0,1,0.0,0.00029033307009801646,Night,East
2024-01-04 03:00:00,Will Vijay succeed?,454,292,POSITIVE,0.6998290010428768,746,0.9694960212201591,1,1,19,0,0,0,0,95,0,1,3,0,0,19,12176,0,0,0,0.0,0.06126806833114323,Night,South
2024-01-04 04:00:00,Vijay entry trending!,179,40,NEGATIVE,0.9914300589277104,219,0.27055702917771884,-1,0,21,0,0,0,0,42,0,1,3,0,0,21,24883,0,0,0,0.0,0.008801189567174376,Night,North
2024-01-04 05:00:00,Vijay Makkal Iyakkam rocks!,197,110,NEGATIVE,0.7682351955942366,307,0.38726790450928383,-1,0,27,0,0,0,0,7,0,1,4,0,0,27,46816,0,0,0,0.0,0.006557587149692413,Morning,East
2024-01-04 06:00:00,Vijay Makkal Iyakkam rocks!,343,13,NEUTRAL,0.7513150578106267,356,0.45225464190981435,0,0,27,0,0,0,0,2,0,1,4,0,0,27,50398,1,0,0,0.0,0.007063772371919521,Morning,East
2024-01-04 07:00:00,Vijay Makkal Iyakkam rocks!,160,230,NEGATIVE,0.6288892441019956,390,0.4973474801061008,-1,0,27,0,0,0,0,11,0,1,4,0,0,27,54404,0,0,0,0.0,0.007168590544812881,Morning,Central
2024-01-04 08:00:00,Thalapathy Vijay is the leader!,176,83,POSITIVE,0.8506817801552207,259,0.32360742705570295,1,0,31,0,0,0,0,83,0,1,5,0,0,31,79460,0,0,1,0.0,0.0032595016360432924,Morning,Central
2024-01-04 09:00:00,Vijay entry trending!,284,129,POSITIVE,0.5071864758888889,413,0.5278514588859416,1,1,21,0,0,0,0,15,0,1,3,0,0,21,69935,0,0,0,0.0,0.00590548366340173,Morning,South
2024-01-04 10:00:00,Thalapathy Vijay is the leader!,62,230,NEUTRAL,0.5247563148511467,292,0.3673740053050398,0,0,31,0,0,0,0,77,0,1,5,0,0,31,8218,0,0,1,0.0,0.03553175955220248,Morning,South
2024-01-04 11:00:00,Thalapathy Vijay is the leader!,490,144,NEGATIVE,0.7996792935679014,634,0.8209549071618037,-1,1,31,0,0,0,0,79,0,1,5,0,0,31,76392,0,0,1,0.0,0.00829929835584878,Morning,South
2024-01-04 12:00:00,Vijay entry trending!,149,27,NEUTRAL,0.6708372869092271,176,0.21352785145888595,0,0,21,0,0,0,0,58,0,1,3,0,0,21,57011,0,0,0,0.0,0.0030871235375629262,Afternoon,Central
2024-01-04 13:00:00,Vijay entry trending!,153,65,POSITIVE,0.9766581861004804,218,0.2692307692307692,1,0,21,0,0,0,0,48,0,1,3,0,0,21,73589,0,0,0,0.0,0.002962399271630271,Afternoon,Central
2024-01-04 14:00:00,Vijay entry trending!,155,162,NEUTRAL,0.9515953453613928,317,0.4005305039787798,0,0,21,0,0,0,0,62,0,1,3,0,0,21,15285,0,0,0,0.0,0.020739286882564607,Afternoon,North
2024-01-04 15:00:00,Vijay entry trending!,369,228,NEGATIVE,0.8568531293383537,597,0.7718832891246684,-1,1,21,0,0,0,0,61,0,1,3,0,0,21,41892,1,0,0,0.0,0.014250930965339444,Afternoon,West
2024-01-04 16:00:00,Vijay Makkal Iyakkam rocks!,468,260,NEUTRAL,0.9090727905639008,728,0.9456233421750663,0,1,27,0,0,0,0,48,0,1,4,0,0,27,80310,0,0,0,0.0,0.00906487361474287,Afternoon,West
2024-01-04 17:00:00,Political impact of Vijay,48,163,NEGATIVE,0.8336659248338467,211,0.259946949602122,-1,0,25,0,0,0,0,50,0,1,4,0,0,25,50713,0,0,0,0.0,0.004160668862027488,Evening,North
2024-01-04 18:00:00,Political impact of Vijay,454,286,NEGATIVE,0.5627910513550803,740,0.9615384615384616,-1,1,25,0,0,0,0,32,0,1,4,0,0,25,34027,0,0,0,0.0,0.021747435859758427,Evening,West
2024-01-04 19:00:00,Vijay entry trending!,336,9,POSITIVE,0.8827716848446013,345,0.4376657824933687,1,0,21,0,0,0,0,29,0,1,3,0,0,21,486,0,0,0,0.0,0.7098765432098766,Evening,Central
2024-01-04 20:00:00,Political impact of Vijay,83,194,POSITIVE,0.6050959843594232,277,0.34748010610079577,1,0,25,0,0,0,0,58,0,1,4,0,0,25,92253,0,0,0,0.0,0.003002612381169176,Evening,West
2024-01-04 21:00:00,Political impact of Vijay,360,117,POSITIVE,0.6617214275500984,477,0.6127320954907162,1,1,25,0,0,0,0,75,0,1,4,0,0,25,72828,0,0,0,0.0,0.006549678695007415,Night,Central
2024-01-04 22:00:00,Vijay entry trending!,176,269,NEGATIVE,0.9096171060512102,445,0.5702917771883289,-1,1,21,0,0,0,0,14,0,1,3,0,0,21,76381,0,0,0,0.0,0.0058260562181694404,Night,North
2024-01-04 23:00:00,Political impact of Vijay,147,79,NEUTRAL,0.7682628041967241,226,0.27984084880636606,0,0,25,0,0,0,0,81,0,1,4,0,0,25,30120,0,0,0,0.0,0.00750332005312085,Night,South
2024-01-05 00:00:00,Thalapathy Vijay is the leader!,117,92,NEGATIVE,0.9299703570917046,209,0.2572944297082228,-1,0,31,0,0,0,0,91,0,1,5,0,0,31,42778,0,0,1,0.0,0.004885688905512179,Night,North
2024-01-05 01:00:00,Will Vijay succeed?,341,265,POSITIVE,0.6065176599216321,606,0.7838196286472149,1,1,19,0,0,0,0,22,0,1,3,0,0,19,86795,0,0,0,0.0,0.006981969007431304,Night,West
2024-01-05 02:00:00,Will Vijay succeed?,475,256,POSITIVE,0.8038892193034436,731,0.9496021220159151,1,1,19,0,0,0,0,77,0,1,3,0,0,19,61494,0,0,0,0.0,0.011887338602140047,Night,Central
2024-01-05 03:00:00,Vijay entry trending!,62,132,NEUTRAL,0.5418954862741308,194,0.23740053050397877,0,0,21,0,0,0,0,93,0,1,3,0,0,21,69045,0,0,0,0.0,0.002809761749583605,Night,West
2024-01-05 04:00:00,Vijay Makkal Iyakkam rocks!,188,275,POSITIVE,0.8215304967700148,463,0.5941644562334217,1,1,27,0,0,0,0,96,0,1,4,0,0,27,56514,0,0,0,0.0,0.008192660225784762,Night,West
2024-01-05 05:00:00,Vijay entry trending!,359,263,POSITIVE,0.8812670188877674,622,0.8050397877984085,1,1,21,0,0,0,0,44,0,1,3,0,0,21,54916,0,0,0,0.0,0.011326389394711924,Morning,South
2024-01-05 06:00:00,Vijay Makkal Iyakkam rocks!,48,170,POSITIVE,0.7924654469893608,218,0.2692307692307692,1,0,27,0,0,0,0,61,0,1,4,0,0,27,56018,0,0,0,0.0,0.0038916062694134028,Morning,West
2024-01-05 07:00:00,Will Vijay succeed?,326,0,NEUTRAL,0.6331157507494052,326,0.4124668435013263,0,0,19,0,0,0,0,78,0,1,3,0,0,19,91381,0,0,0,0.0,0.00356748120506451,Morning,South
2024-01-05 08:00:00,Vijay entry trending!,256,63,NEGATIVE,0.5156713344294334,319,0.40318302387267907,-1,0,21,0,0,0,0,70,0,1,3,0,0,21,62794,0,0,0,0.0,0.00508010319457273,Morning,Central
2024-01-05 09:00:00,Thalapathy Vijay is the leader!,223,283,POSITIVE,0.5597244419821429,506,0.6511936339522546,1,1,31,0,0,0,0,14,0,1,5,0,0,31,29555,0,0,1,0.0,0.017120622568093387,Morning,Central
2024-01-05 10:00:00,Political impact of Vijay,140,120,NEUTRAL,0.8111514895370131,260,0.3249336870026525,0,0,25,0,0,0,0,45,0,1,4,0,0,25,38835,0,0,0,0.0,0.0066949916312604605,Morning,South
2024-01-05 11:00:00,Vijay Makkal Iyakkam rocks!,477,106,POSITIVE,0.9672101084212568,583,0.753315649867374,1,1,27,0,0,0,0,63,0,1,4,0,0,27,94802,0,0,0,0.0,0.006149659289888399,Morning,North
2024-01-05 12:00:00,Political impact of Vijay,214,174,NEUTRAL,0.6032672019860033,388,0.4946949602122016,0,0,25,0,0,0,0,45,0,1,4,0,0,25,93708,0,0,0,0.0,0.004140521620352585,Afternoon,Central
2024-01-05 13:00:00,Political impact of Vijay,434,203,POSITIVE,0.8675130745525494,637,0.8249336870026526,1,1,25,0,0,0,0,55,0,1,4,0,0,25,12209,0,0,0,0.0,0.05217462527643542,Afternoon,North
2024-01-05 14:00:00,Vijay entry trending!,378,164,NEUTRAL,0.9332255316245208,542,0.6989389920424404,0,1,21,0,0,0,0,43,0,1,3,0,0,21,45902,0,0,0,0.0,0.011807764367565683,Afternoon,Central
2024-01-05 15:00:00,Political impact of Vijay,439,119,POSITIVE,0.7604410892237555,558,0.7201591511936339,1,1,25,0,0,0,0,74,0,1,4,0,0,25,68120,0,0,0,0.0,0.00819142689371697,Afternoon,Central
2024-01-05 16:00:00,Thalapathy Vijay is the leader!,210,43,NEGATIVE,0.8346328979218289,253,0.3156498673740053,-1,0,31,0,0,0,0,28,0,1,5,0,0,31,34722,0,0,1,0.0,0.007286446633258453,Afternoon,East
2024-01-05 17:00:00,Political impact of Vijay,317,155,POSITIVE,0.907507658338074,472,0.6061007957559682,1,1,25,0,0,0,0,94,0,1,4,0,0,25,2697,0,0,0,0.0,0.175009269558769,Evening,West
2024-01-05 18:00:00,Vijay entry trending!,31,206,NEUTRAL,0.6303375788702967,237,0.29442970822281167,0,0,21,0,0,0,0,61,0,1,3,0,0,21,40697,0,0,0,0.0,0.005823525075558395,Evening,West
2024-01-05 19:00:00,Thalapathy Vijay is the leader!,157,107,POSITIVE,0.6484478371340214,264,0.3302387267904509,1,0,31,0,0,0,0,88,0,1,5,0,0,31,41054,0,0,1,0.0,0.006430554878939933,Evening,North
2024-01-05 20:00:00,Will Vijay succeed?,284,250,NEGATIVE,0.5003137583142281,534,0.6883289124668435,-1,1,19,0,0,0,0,51,0,1,3,0,0,19,69619,0,0,0,0.0,0.007670319883939729,Evening,West
2024-01-05 21:00:00,Political impact of Vijay,304,129,POSITIVE,0.9815470654489012,433,0.5543766578249337,1,1,25,0,0,0,0,53,0,1,4,0,0,25,56215,0,0,0,0.0,0.007702570488303834,Night,North
